Car Make,City,Money,Frequency,Gender,Language
Mazda,Cileuya,,Daily,,
,Beopwon,Won,Monthly,,
Suzuki,Nakhabino,Ruble,Monthly,Male,
,,Yuan Renminbi,Weekly,Male,
Volkswagen,Yanglinwei,Yuan Renminbi,Once,Male,
Mazda,Vrsi,Kuna,Weekly,Female,Latvian
Maserati,Bralin,Zloty,Weekly,Male,Moldovan
,Yajiang,Yuan Renminbi,Monthly,Male,
Mercedes-Benz,Konduga,Naira,Monthly,Female,Sotho
Mercury,Peace River,Dollar,Often,Female,
Mitsubishi,Hexi,Yuan Renminbi,Once,,
Isuzu,Kraljevo,Dinar,Weekly,Male,Assamese
Ferrari,Cangshan,Yuan Renminbi,Once,Male,
Bentley,Nan’ao,Yuan Renminbi,Daily,Male,
Hyundai,Emplak,Rupiah,Seldom,Female,
Mercedes-Benz,Rivera,Peso,Weekly,Male,
GMC,Hai’an,Yuan Renminbi,,Female,Hiri Motu
Subaru,Semënovskoye,Ruble,Once,Male,
Mazda,,Rupiah,Once,Male,
Bentley,Majāz al Bāb,Dinar,Never,Female,
,Varakļāni,Euro,Seldom,Female,Malayalam
Toyota,Rendui,,Often,Female,
Subaru,Foxrock,Euro,Seldom,Female,
GMC,Futu,Yuan Renminbi,Once,,
Audi,Karantaba,Dalasi,Weekly,Female,Armenian
Chevrolet,,Yuan Renminbi,Often,Male,
,Tyarlevo,Ruble,Often,Female,
,Xifengshan,Yuan Renminbi,Daily,Female,Kyrgyz
Chevrolet,,Rupiah,Yearly,Male,
,Junchuan,Yuan Renminbi,Never,Male,
Hyundai,,Hryvnia,Monthly,Female,
Subaru,Thị Trấn Triệu Sơn,Dong,Daily,Female,
Infiniti,Xinquansi,Yuan Renminbi,Often,Male,
Mazda,Belford Roxo,,Yearly,Female,
Toyota,,,Often,Male,Czech
Mazda,Vágia,Euro,Daily,,
Infiniti,Melfort,Dollar,Yearly,,
Jeep,Isojoki,Euro,Often,Female,Thai
Volkswagen,Barkly East,Rand,Seldom,Male,
Ford,,,Daily,,
,,Yuan Renminbi,Yearly,Male,
,,Yuan Renminbi,Weekly,Male,
,Humaitá,,Yearly,Female,
Pontiac,Piraí,Real,Daily,Female,
Pontiac,Chernoyerkovskaya,,Seldom,Male,
Volkswagen,Jiuhua,,Weekly,Male,
Ford,Shatura,Ruble,Daily,Female,
Ford,Kendayakan,Rupiah,Seldom,Male,
Chevrolet,Cam Ranh,,Often,Male,
,Pulilan,Peso,Seldom,Female,
Land Rover,Marādah,Dinar,Daily,Female,
Audi,Fengsheng,Yuan Renminbi,Seldom,Female,
Lincoln,,Euro,Seldom,Female,
Eagle,Munse,Rupiah,Monthly,Male,
